version,model_name,selection_source_file,evaluation_source_file,selection_split,evaluation_split,selection_mode,min_recall,selection_note,best_threshold,selection_accuracy,selection_precision,selection_recall,selection_f1,selection_tn,selection_fp,selection_fn,selection_tp,accuracy,precision,recall,f1,tn,fp,fn,tp
v1,RandomForest,results_standard_research_clean\v1\RandomForest_validation_predictions.csv,results_standard_research_clean\v1\RandomForest_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.8,0.961868856065682,0.9912905779889152,0.70112,0.821329834590694,87420,77,3736,8764,0.961448843465304,0.9903573454339194,0.6984,0.8191414496833216,87412,85,3770,8730
v2,XGBoost,results_standard_research_clean\v2\XGBoost_validation_predictions.csv,results_standard_research_clean\v2\XGBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.83,0.961408842265268,0.98128550740782,0.70472,0.8203194114634259,87329,168,3691,8809,0.9611588347650428,0.9824188129899216,0.70184,0.8187587494167056,87340,157,3727,8773
v3,XGBoost,results_standard_research_clean\v3\XGBoost_validation_predictions.csv,results_standard_research_clean\v3\XGBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.82,0.9699790993729812,0.9967573221757322,0.76232,0.8639165911151405,87466,31,2971,9529,0.9695490864725942,0.9970560403743034,0.75864,0.8616600790513833,87469,28,3017,9483
v4,DecisionTree,results_standard_research_clean\v4\DecisionTree_validation_predictions.csv,results_standard_research_clean\v4\DecisionTree_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.76,0.9699990999729992,1.0,0.76,0.8636363636363636,87497,0,3000,9500,0.969649089472684,1.0,0.7572,0.8618256316867744,87497,0,3035,9465
v5,RandomForest,results_standard_research_clean\v5\RandomForest_validation_predictions.csv,results_standard_research_clean\v5\RandomForest_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.8,0.9700091002730082,0.9994742929239828,0.76048,0.863749943210213,87492,5,2994,9506,0.9696690900727022,0.9991563851101972,0.758,0.8620297502615657,87489,8,3025,9475
