version,setup,model_name,selection_metric_source,evaluation_metric_source,training_time_sec,accuracy,fraud_precision,fraud_recall,fraud_f1,macro_f1,weighted_f1,roc_auc,pr_auc,validation_accuracy,validation_fraud_precision,validation_fraud_recall,validation_fraud_f1,validation_roc_auc,validation_pr_auc,selection_reason,best_params
v1,No-SMOTE,XGBoost,validation,test,330.57,0.946228,0.806208,0.75016,0.777175,0.8733,0.945393,0.911241,0.826779,0.946668,0.807306,0.75312,0.779272,0.915067,0.831503,"XGBoost was selected because it remained after the tolerance filters for Fraud F1 (best=0.779272, tolerance=0.002), PR-AUC (best among F1-tied models=0.831872, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.753840, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__subsample"": 0.8, ""clf__reg_lambda"": 0.5, ""clf__n_estimators"": 200, ""clf__min_child_weight"": 5, ""clf__max_depth"": 5, ""clf__learning_rate"": 0.05, ""clf__gamma"": 0.0, ""clf__colsample_bytree"": 0.6}"
v2,No-SMOTE,XGBoost,validation,test,365.98,0.946668,0.809376,0.75,0.778557,0.874121,0.945792,0.911995,0.827354,0.946998,0.810345,0.752,0.780083,0.915832,0.831919,"XGBoost was selected because it remained after the tolerance filters for Fraud F1 (best=0.780245, tolerance=0.002), PR-AUC (best among F1-tied models=0.831919, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.753280, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__subsample"": 1.0, ""clf__reg_lambda"": 0.5, ""clf__n_estimators"": 600, ""clf__min_child_weight"": 3, ""clf__max_depth"": 4, ""clf__learning_rate"": 0.03, ""clf__gamma"": 0.0, ""clf__colsample_bytree"": 0.6}"
v3,No-SMOTE,CatBoost,validation,test,9336.78,0.963539,0.92186,0.77392,0.841437,0.910419,0.962155,0.93116,0.855845,0.964029,0.922223,0.77784,0.843901,0.933387,0.859494,"CatBoost was selected because it remained after the tolerance filters for Fraud F1 (best=0.844178, tolerance=0.002), PR-AUC (best among F1-tied models=0.859494, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.778400, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""learning_rate"": 0.03, ""l2_leaf_reg"": 3, ""iterations"": 600, ""depth"": 5, ""border_count"": 254}"
v4,No-SMOTE,DecisionTree,validation,test,486.95,0.966309,0.953692,0.76776,0.850685,0.915849,0.964721,0.929523,0.83373,0.966779,0.953369,0.772,0.853152,0.931984,0.838178,"DecisionTree was selected because it remained after the tolerance filters for Fraud F1 (best=0.853152, tolerance=0.002), PR-AUC (best among F1-tied models=0.838178, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.772000, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__min_samples_split"": 5, ""clf__min_samples_leaf"": 8, ""clf__max_depth"": 8, ""clf__criterion"": ""log_loss"", ""clf__ccp_alpha"": 0.0}"
v5,No-SMOTE,RandomForest,validation,test,6364.34,0.965449,0.94178,0.77128,0.848045,0.914277,0.96395,0.93137,0.856137,0.965729,0.940309,0.77504,0.849713,0.933661,0.85985,"RandomForest was selected because it remained after the tolerance filters for Fraud F1 (best=0.849713, tolerance=0.002), PR-AUC (best among F1-tied models=0.859850, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.776880, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__n_estimators"": 500, ""clf__min_samples_split"": 2, ""clf__min_samples_leaf"": 2, ""clf__max_features"": 0.8, ""clf__max_depth"": 10, ""clf__bootstrap"": true}"
