version,setup_no_smote,model_name_no_smote,selection_metric_source_no_smote,evaluation_metric_source_no_smote,training_time_sec_no_smote,accuracy_no_smote,fraud_precision_no_smote,fraud_recall_no_smote,fraud_f1_no_smote,macro_f1_no_smote,weighted_f1_no_smote,roc_auc_no_smote,pr_auc_no_smote,validation_accuracy_no_smote,validation_fraud_precision_no_smote,validation_fraud_recall_no_smote,validation_fraud_f1_no_smote,validation_roc_auc_no_smote,validation_pr_auc_no_smote,selection_reason_no_smote,best_params_no_smote,setup_smote,model_name_smote,selection_metric_source_smote,evaluation_metric_source_smote,training_time_sec_smote,accuracy_smote,fraud_precision_smote,fraud_recall_smote,fraud_f1_smote,macro_f1_smote,weighted_f1_smote,roc_auc_smote,pr_auc_smote,validation_accuracy_smote,validation_fraud_precision_smote,validation_fraud_recall_smote,validation_fraud_f1_smote,validation_roc_auc_smote,validation_pr_auc_smote,selection_reason_smote,best_params_smote,fraud_f1_delta,fraud_recall_delta,fraud_precision_delta,roc_auc_delta,pr_auc_delta,smote_improved_fraud_f1,smote_improved_fraud_recall,smote_hurt_precision,f1_effect_size
v1,No-SMOTE,RandomForest,validation,test,0.8,0.9435,0.827751,0.692,0.753813,0.86095,0.941304,0.887874,0.79275,0.9465,0.794239,0.772,0.782961,0.910087,0.836024,"RandomForest was selected because it remained after the tolerance filters for Fraud F1 (best=0.782961, tolerance=0.002), PR-AUC (best among F1-tied models=0.836024, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.772000, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__n_estimators"": 80, ""clf__min_samples_split"": 2, ""clf__min_samples_leaf"": 1, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": 8, ""clf__bootstrap"": true}",SMOTE,XGBoost,validation,test,0.5,0.9535,0.906736,0.7,0.790068,0.881961,0.950881,0.895112,0.800865,0.956,0.878505,0.752,0.810345,0.916078,0.842293,"XGBoost was selected because it remained after the tolerance filters for Fraud F1 (best=0.810345, tolerance=0.002), PR-AUC (best among F1-tied models=0.842293, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.752000, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__subsample"": 0.8, ""clf__reg_lambda"": 2.0, ""clf__n_estimators"": 80, ""clf__min_child_weight"": 3, ""clf__max_depth"": 5, ""clf__learning_rate"": 0.05, ""clf__gamma"": 0.0, ""clf__colsample_bytree"": 0.8}",0.03625500000000004,0.008000000000000007,0.07898499999999997,0.007237999999999967,0.008115000000000094,True,True,False,meaningful improvement
v2,No-SMOTE,RandomForest,validation,test,0.77,0.9425,0.822967,0.688,0.749455,0.858489,0.940265,0.886367,0.79428,0.946,0.790984,0.772,0.781377,0.910966,0.838038,"RandomForest was selected because it remained after the tolerance filters for Fraud F1 (best=0.781377, tolerance=0.002), PR-AUC (best among F1-tied models=0.838038, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.772000, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__n_estimators"": 80, ""clf__min_samples_split"": 2, ""clf__min_samples_leaf"": 1, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": 8, ""clf__bootstrap"": true}",SMOTE,XGBoost,validation,test,0.51,0.954,0.911458,0.7,0.791855,0.882999,0.951357,0.895753,0.797651,0.9565,0.886256,0.748,0.81128,0.922597,0.846536,"XGBoost was selected because it remained after the tolerance filters for Fraud F1 (best=0.811280, tolerance=0.002), PR-AUC (best among F1-tied models=0.846536, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.748000, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__subsample"": 0.8, ""clf__reg_lambda"": 2.0, ""clf__n_estimators"": 40, ""clf__min_child_weight"": 3, ""clf__max_depth"": 5, ""clf__learning_rate"": 0.1, ""clf__gamma"": 0.0, ""clf__colsample_bytree"": 0.8}",0.04239999999999999,0.01200000000000001,0.08849099999999999,0.009386000000000005,0.003371000000000013,True,True,False,meaningful improvement
v3,No-SMOTE,XGBoost,validation,test,0.45,0.957,0.901961,0.736,0.810573,0.89316,0.9551,0.915741,0.829351,0.9625,0.888889,0.8,0.842105,0.932031,0.866321,"XGBoost was selected because it remained after the tolerance filters for Fraud F1 (best=0.842105, tolerance=0.002), PR-AUC (best among F1-tied models=0.866321, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.800000, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__subsample"": 0.8, ""clf__reg_lambda"": 2.0, ""clf__n_estimators"": 40, ""clf__min_child_weight"": 3, ""clf__max_depth"": 5, ""clf__learning_rate"": 0.1, ""clf__gamma"": 0.0, ""clf__colsample_bytree"": 0.8}",SMOTE,XGBoost,validation,test,0.51,0.9645,0.989071,0.724,0.836028,0.908062,0.962087,0.910727,0.824108,0.969,0.97,0.776,0.862222,0.938215,0.871808,"XGBoost was selected because it remained after the tolerance filters for Fraud F1 (best=0.862832, tolerance=0.002), PR-AUC (best among F1-tied models=0.871808, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.776000, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__subsample"": 0.8, ""clf__reg_lambda"": 2.0, ""clf__n_estimators"": 40, ""clf__min_child_weight"": 3, ""clf__max_depth"": 5, ""clf__learning_rate"": 0.1, ""clf__gamma"": 0.0, ""clf__colsample_bytree"": 0.8}",0.025455000000000005,-0.01200000000000001,0.08711000000000002,-0.005014000000000074,-0.005242999999999998,True,False,False,meaningful improvement
v4,No-SMOTE,RandomForest,validation,test,0.74,0.9545,0.911917,0.704,0.794582,0.8845,0.951937,0.906233,0.810771,0.9615,0.894977,0.784,0.835821,0.925566,0.857524,"RandomForest was selected because it remained after the tolerance filters for Fraud F1 (best=0.835821, tolerance=0.002), PR-AUC (best among F1-tied models=0.857524, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.784000, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__n_estimators"": 40, ""clf__min_samples_split"": 2, ""clf__min_samples_leaf"": 1, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": 8, ""clf__bootstrap"": true}",SMOTE,XGBoost,validation,test,0.61,0.964,0.973404,0.732,0.835616,0.907702,0.961765,0.907202,0.821647,0.9685,0.956098,0.784,0.861538,0.934896,0.871734,"XGBoost was selected because it remained after the tolerance filters for Fraud F1 (best=0.861538, tolerance=0.002), PR-AUC (best among F1-tied models=0.871734, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.784000, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__subsample"": 0.8, ""clf__reg_lambda"": 2.0, ""clf__n_estimators"": 80, ""clf__min_child_weight"": 3, ""clf__max_depth"": 5, ""clf__learning_rate"": 0.05, ""clf__gamma"": 0.0, ""clf__colsample_bytree"": 0.8}",0.041034000000000015,0.028000000000000025,0.06148700000000007,0.0009689999999999976,0.010875999999999997,True,True,False,meaningful improvement
v5,No-SMOTE,RandomForest,validation,test,0.85,0.956,0.917526,0.712,0.801802,0.888527,0.953572,0.908535,0.81749,0.961,0.887387,0.788,0.834746,0.931351,0.864474,"RandomForest was selected because it remained after the tolerance filters for Fraud F1 (best=0.834746, tolerance=0.002), PR-AUC (best among F1-tied models=0.864474, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.788000, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__n_estimators"": 80, ""clf__min_samples_split"": 2, ""clf__min_samples_leaf"": 1, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": 8, ""clf__bootstrap"": true}",SMOTE,XGBoost,validation,test,0.71,0.962,0.962766,0.724,0.826484,0.902574,0.959641,0.907733,0.821774,0.9675,0.95122,0.78,0.857143,0.932283,0.869419,"XGBoost was selected because it remained after the tolerance filters for Fraud F1 (best=0.857143, tolerance=0.002), PR-AUC (best among F1-tied models=0.869419, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.780000, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__subsample"": 0.8, ""clf__reg_lambda"": 2.0, ""clf__n_estimators"": 80, ""clf__min_child_weight"": 3, ""clf__max_depth"": 5, ""clf__learning_rate"": 0.05, ""clf__gamma"": 0.0, ""clf__colsample_bytree"": 0.8}",0.02468199999999998,0.01200000000000001,0.04524000000000006,-0.0008019999999999694,0.0042839999999999545,True,True,False,meaningful improvement
