Version,Best Model,Precision,Recall,Fraud-Class F1,PR-AUC
v1,XGBoost,0.8062,0.7502,0.7772,0.8268
v2,XGBoost,0.8094,0.7500,0.7786,0.8274
v3,CatBoost,0.9219,0.7739,0.8414,0.8558
v4,DecisionTree,0.9537,0.7678,0.8507,0.8337
v5,RandomForest,0.9418,0.7713,0.8480,0.8561
