version,model_name,selection_source_file,evaluation_source_file,selection_split,evaluation_split,selection_mode,min_recall,selection_note,best_threshold,selection_accuracy,selection_precision,selection_recall,selection_f1,selection_tn,selection_fp,selection_fn,selection_tp,accuracy,precision,recall,f1,tn,fp,fn,tp
v1,XGBoost,results_multiversion_smoke_research_clean_smote\v1\XGBoost_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v1\XGBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.75,0.9635,1.0,0.708,0.82903981264637,1750,0,73,177,0.957,1.0,0.656,0.7922705314009661,1750,0,86,164
v2,XGBoost,results_multiversion_smoke_research_clean_smote\v2\XGBoost_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v2\XGBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.68,0.963,1.0,0.704,0.8262910798122065,1750,0,74,176,0.9565,0.9880239520958084,0.66,0.7913669064748201,1748,2,85,165
v3,XGBoost,results_multiversion_smoke_research_clean_smote\v3\XGBoost_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v3\XGBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.56,0.9715,1.0,0.772,0.871331828442438,1750,0,57,193,0.965,0.9945054945054945,0.724,0.8379629629629629,1749,1,69,181
v4,XGBoost,results_multiversion_smoke_research_clean_smote\v4\XGBoost_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v4\XGBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.62,0.972,1.0,0.776,0.8738738738738739,1750,0,56,194,0.9625,0.9834254143646409,0.712,0.8259860788863109,1747,3,72,178
v5,XGBoost,results_multiversion_smoke_research_clean_smote\v5\XGBoost_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v5\XGBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.65,0.9705,1.0,0.764,0.8662131519274376,1750,0,59,191,0.963,0.9835164835164835,0.716,0.8287037037037037,1747,3,71,179
