iter	Passed	Remaining
334	30395	5897
335	30466	5803
336	30535	5708
337	30608	5614
338	30669	5518
339	30737	5424
340	30804	5329
341	30896	5239
342	30975	5147
343	31053	5055
344	31126	4962
345	31196	4868
346	31270	4776
347	31340	4683
348	31414	4590
349	31482	4497
350	31553	4404
351	31625	4312
352	31731	4224
353	31798	4132
354	31888	4042
355	31991	3953
356	32081	3864
357	32161	3773
358	32236	3681
359	32310	3590
360	32376	3497
361	32448	3406
362	32524	3315
363	32596	3223
364	32677	3133
365	32755	3042
366	32824	2951
367	32906	2861
368	32985	2771
369	33060	2680
370	33130	2589
371	33200	2498
372	33270	2408
373	33340	2317
374	33410	2227
375	33479	2136
376	33546	2046
377	33608	1956
378	33677	1866
379	33750	1776
380	33823	1686
381	33897	1597
382	33964	1507
383	34030	1417
384	34097	1328
385	34161	1239
386	34229	1149
387	34297	1060
388	34363	971
389	34428	882
390	34495	794
391	34566	705
392	34636	616
393	34705	528
394	34775	440
395	34846	351
396	34924	263
397	35008	175
398	35077	87
399	35148	0
