version,setup,model_name,selection_metric_source,evaluation_metric_source,training_time_sec,accuracy,fraud_precision,fraud_recall,fraud_f1,macro_f1,weighted_f1,roc_auc,pr_auc,validation_accuracy,validation_fraud_precision,validation_fraud_recall,validation_fraud_f1,validation_roc_auc,validation_pr_auc,selection_reason,best_params
v1,No-SMOTE,RandomForest,validation,test,0.8,0.9435,0.827751,0.692,0.753813,0.86095,0.941304,0.887874,0.79275,0.9465,0.794239,0.772,0.782961,0.910087,0.836024,"RandomForest was selected because it remained after the tolerance filters for Fraud F1 (best=0.782961, tolerance=0.002), PR-AUC (best among F1-tied models=0.836024, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.772000, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__n_estimators"": 80, ""clf__min_samples_split"": 2, ""clf__min_samples_leaf"": 1, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": 8, ""clf__bootstrap"": true}"
v2,No-SMOTE,RandomForest,validation,test,0.77,0.9425,0.822967,0.688,0.749455,0.858489,0.940265,0.886367,0.79428,0.946,0.790984,0.772,0.781377,0.910966,0.838038,"RandomForest was selected because it remained after the tolerance filters for Fraud F1 (best=0.781377, tolerance=0.002), PR-AUC (best among F1-tied models=0.838038, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.772000, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__n_estimators"": 80, ""clf__min_samples_split"": 2, ""clf__min_samples_leaf"": 1, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": 8, ""clf__bootstrap"": true}"
v3,No-SMOTE,XGBoost,validation,test,0.45,0.957,0.901961,0.736,0.810573,0.89316,0.9551,0.915741,0.829351,0.9625,0.888889,0.8,0.842105,0.932031,0.866321,"XGBoost was selected because it remained after the tolerance filters for Fraud F1 (best=0.842105, tolerance=0.002), PR-AUC (best among F1-tied models=0.866321, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.800000, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__subsample"": 0.8, ""clf__reg_lambda"": 2.0, ""clf__n_estimators"": 40, ""clf__min_child_weight"": 3, ""clf__max_depth"": 5, ""clf__learning_rate"": 0.1, ""clf__gamma"": 0.0, ""clf__colsample_bytree"": 0.8}"
v4,No-SMOTE,RandomForest,validation,test,0.74,0.9545,0.911917,0.704,0.794582,0.8845,0.951937,0.906233,0.810771,0.9615,0.894977,0.784,0.835821,0.925566,0.857524,"RandomForest was selected because it remained after the tolerance filters for Fraud F1 (best=0.835821, tolerance=0.002), PR-AUC (best among F1-tied models=0.857524, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.784000, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__n_estimators"": 40, ""clf__min_samples_split"": 2, ""clf__min_samples_leaf"": 1, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": 8, ""clf__bootstrap"": true}"
v5,No-SMOTE,RandomForest,validation,test,0.85,0.956,0.917526,0.712,0.801802,0.888527,0.953572,0.908535,0.81749,0.961,0.887387,0.788,0.834746,0.931351,0.864474,"RandomForest was selected because it remained after the tolerance filters for Fraud F1 (best=0.834746, tolerance=0.002), PR-AUC (best among F1-tied models=0.864474, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.788000, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__n_estimators"": 80, ""clf__min_samples_split"": 2, ""clf__min_samples_leaf"": 1, ""clf__max_features"": ""sqrt"", ""clf__max_depth"": 8, ""clf__bootstrap"": true}"
