threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.6595,0.25649717514124293,0.908,0.39999999999999997,1092,658,23,227
0.11,0.737,0.30886426592797783,0.892,0.45884773662551437,1251,499,27,223
0.12,0.802,0.37542662116040953,0.88,0.5263157894736842,1384,366,30,220
0.13,0.843,0.4352226720647773,0.86,0.5779569892473119,1471,279,35,215
0.14,0.8725,0.4940898345153664,0.836,0.6210995542347697,1536,214,41,209
0.15,0.8925,0.5459317585301837,0.832,0.6592709984152139,1577,173,42,208
0.16,0.9095,0.6005830903790087,0.824,0.6947723440134908,1613,137,44,206
0.17,0.917,0.6304347826086957,0.812,0.7097902097902099,1631,119,47,203
0.18,0.924,0.6611842105263158,0.804,0.7256317689530687,1647,103,49,201
0.19,0.928,0.6790540540540541,0.804,0.7362637362637362,1655,95,49,201
0.2,0.931,0.6931034482758621,0.804,0.7444444444444445,1661,89,49,201
0.21,0.9345,0.7102473498233216,0.804,0.7542213883677299,1668,82,49,201
0.22,0.935,0.7127659574468085,0.804,0.7556390977443609,1669,81,49,201
0.23,0.936,0.7178571428571429,0.804,0.758490566037736,1671,79,49,201
0.24,0.9385,0.730909090909091,0.804,0.7657142857142857,1676,74,49,201
0.25,0.941,0.7444444444444445,0.804,0.7730769230769231,1681,69,49,201
0.26,0.9435,0.7584905660377359,0.804,0.7805825242718446,1686,64,49,201
0.27,0.9475,0.7821011673151751,0.804,0.7928994082840237,1694,56,49,201
0.28,0.95,0.7976190476190477,0.804,0.800796812749004,1699,51,49,201
0.29,0.955,0.8361344537815126,0.796,0.8155737704918034,1711,39,51,199
0.3,0.956,0.8432203389830508,0.796,0.8189300411522634,1713,37,51,199
0.31,0.9565,0.8468085106382979,0.796,0.820618556701031,1714,36,51,199
0.32,0.9575,0.8540772532188842,0.796,0.824016563146998,1716,34,51,199
0.33,0.96,0.8728070175438597,0.796,0.8326359832635983,1721,29,51,199
0.34,0.9605,0.8766519823788547,0.796,0.8343815513626834,1722,28,51,199
0.35,0.962,0.8883928571428571,0.796,0.839662447257384,1725,25,51,199
0.36,0.9635,0.9004524886877828,0.796,0.8450106157112526,1728,22,51,199
0.37,0.964,0.9045454545454545,0.796,0.846808510638298,1729,21,51,199
0.38,0.9645,0.9162790697674419,0.788,0.8473118279569892,1732,18,53,197
0.39,0.9655,0.9248826291079812,0.788,0.8509719222462203,1734,16,53,197
0.4,0.9655,0.9289099526066351,0.784,0.8503253796095446,1735,15,54,196
0.41,0.9665,0.937799043062201,0.784,0.8540305010893247,1737,13,54,196
0.42,0.9665,0.937799043062201,0.784,0.8540305010893247,1737,13,54,196
0.43,0.9665,0.937799043062201,0.784,0.8540305010893247,1737,13,54,196
0.44,0.967,0.9423076923076923,0.784,0.8558951965065502,1738,12,54,196
0.45,0.9675,0.9468599033816425,0.784,0.8577680525164114,1739,11,54,196
0.46,0.9685,0.9560975609756097,0.784,0.8615384615384616,1741,9,54,196
0.47,0.9685,0.9560975609756097,0.784,0.8615384615384616,1741,9,54,196
0.48,0.9685,0.9560975609756097,0.784,0.8615384615384616,1741,9,54,196
0.49,0.969,0.9607843137254902,0.784,0.8634361233480177,1742,8,54,196
0.5,0.969,0.9653465346534653,0.78,0.8628318584070797,1743,7,55,195
0.51,0.969,0.9653465346534653,0.78,0.8628318584070797,1743,7,55,195
0.52,0.9695,0.9701492537313433,0.78,0.8647450110864745,1744,6,55,195
0.53,0.9695,0.9748743718592965,0.776,0.8641425389755011,1745,5,56,194
0.54,0.9695,0.9748743718592965,0.776,0.8641425389755011,1745,5,56,194
0.55,0.9695,0.9748743718592965,0.776,0.8641425389755011,1745,5,56,194
0.56,0.9695,0.9748743718592965,0.776,0.8641425389755011,1745,5,56,194
0.57,0.9695,0.9748743718592965,0.776,0.8641425389755011,1745,5,56,194
0.58,0.9695,0.9748743718592965,0.776,0.8641425389755011,1745,5,56,194
0.59,0.9695,0.9748743718592965,0.776,0.8641425389755011,1745,5,56,194
0.6,0.9695,0.9748743718592965,0.776,0.8641425389755011,1745,5,56,194
0.61,0.9695,0.9748743718592965,0.776,0.8641425389755011,1745,5,56,194
0.62,0.9695,0.9748743718592965,0.776,0.8641425389755011,1745,5,56,194
0.63,0.9695,0.9748743718592965,0.776,0.8641425389755011,1745,5,56,194
0.64,0.9695,0.9748743718592965,0.776,0.8641425389755011,1745,5,56,194
0.65,0.9695,0.9748743718592965,0.776,0.8641425389755011,1745,5,56,194
0.66,0.9695,0.9748743718592965,0.776,0.8641425389755011,1745,5,56,194
0.67,0.9695,0.9748743718592965,0.776,0.8641425389755011,1745,5,56,194
0.68,0.9695,0.9748743718592965,0.776,0.8641425389755011,1745,5,56,194
0.69,0.97,0.9797979797979798,0.776,0.8660714285714285,1746,4,56,194
0.7,0.97,0.9797979797979798,0.776,0.8660714285714285,1746,4,56,194
0.71,0.97,0.9846938775510204,0.772,0.8654708520179372,1747,3,57,193
0.72,0.9695,0.9846153846153847,0.768,0.8629213483146068,1747,3,58,192
0.73,0.9695,0.9896373056994818,0.764,0.8623024830699775,1748,2,59,191
0.74,0.9695,0.9896373056994818,0.764,0.8623024830699775,1748,2,59,191
0.75,0.97,0.9947916666666666,0.764,0.8642533936651584,1749,1,59,191
0.76,0.9695,0.9947643979057592,0.76,0.8616780045351474,1749,1,60,190
0.77,0.969,1.0,0.752,0.8584474885844748,1750,0,62,188
0.78,0.9685,1.0,0.748,0.8558352402745996,1750,0,63,187
0.79,0.9685,1.0,0.748,0.8558352402745996,1750,0,63,187
0.8,0.9685,1.0,0.748,0.8558352402745996,1750,0,63,187
0.81,0.9675,1.0,0.74,0.8505747126436781,1750,0,65,185
0.82,0.9675,1.0,0.74,0.8505747126436781,1750,0,65,185
0.83,0.967,1.0,0.736,0.847926267281106,1750,0,66,184
0.84,0.967,1.0,0.736,0.847926267281106,1750,0,66,184
0.85,0.9665,1.0,0.732,0.8452655889145496,1750,0,67,183
0.86,0.9655,1.0,0.724,0.839907192575406,1750,0,69,181
0.87,0.9645,1.0,0.716,0.8344988344988344,1750,0,71,179
0.88,0.963,1.0,0.704,0.8262910798122065,1750,0,74,176
0.89,0.962,1.0,0.696,0.820754716981132,1750,0,76,174
0.9,0.9595,1.0,0.676,0.8066825775656324,1750,0,81,169
