version,model_name,selection_source_file,evaluation_source_file,selection_split,evaluation_split,selection_mode,min_recall,selection_note,best_threshold,selection_accuracy,selection_precision,selection_recall,selection_f1,selection_tn,selection_fp,selection_fn,selection_tp,accuracy,precision,recall,f1,tn,fp,fn,tp
v4,LogisticRegression,results_standard_research_clean_smote\v4\LogisticRegression_validation_predictions.csv,results_standard_research_clean_smote\v4\LogisticRegression_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.76,0.96318889566687,0.9617761022096555,0.73472,0.8330536532269036,87132,365,3316,9184,0.962268868066042,0.9604305159860715,0.72816,0.828320516904036,87122,375,3398,9102
v4,DecisionTree,results_standard_research_clean_smote\v4\DecisionTree_validation_predictions.csv,results_standard_research_clean_smote\v4\DecisionTree_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.54,0.9700091002730082,1.0,0.76008,0.8636880141811736,87497,0,2999,9501,0.9696590897726932,1.0,0.75728,0.861877446963489,87497,0,3034,9466
v4,RandomForest,results_standard_research_clean_smote\v4\RandomForest_validation_predictions.csv,results_standard_research_clean_smote\v4\RandomForest_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.48,0.9699490984729542,0.9968602825745683,0.762,0.8637497166175471,87467,30,2975,9525,0.9696490894726841,0.997059132444071,0.75944,0.862177012851369,87469,28,3007,9493
v4,XGBoost,results_standard_research_clean_smote\v4\XGBoost_validation_predictions.csv,results_standard_research_clean_smote\v4\XGBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.47,0.9700391011730352,0.9985312631137222,0.76144,0.8640159767610749,87483,14,2982,9518,0.9695290858725761,0.9979981034664419,0.75776,0.8614433177208859,87478,19,3028,9472
v4,CatBoost,results_standard_research_clean_smote\v4\CatBoost_validation_predictions.csv,results_standard_research_clean_smote\v4\CatBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.44,0.9699490984729542,0.9979024646040902,0.7612,0.8636260494667574,87477,20,2985,9515,0.9695490864725942,0.9977887754027588,0.75808,0.8615720325498931,87476,21,3024,9476
v5,LogisticRegression,results_standard_research_clean_smote\v5\LogisticRegression_validation_predictions.csv,results_standard_research_clean_smote\v5\LogisticRegression_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.76,0.963178895366861,0.9614821017374922,0.73488,0.8330461594268613,87129,368,3314,9186,0.96218886566597,0.9596204533473907,0.72816,0.8280191039345007,87114,383,3398,9102
v5,DecisionTree,results_standard_research_clean_smote\v5\DecisionTree_validation_predictions.csv,results_standard_research_clean_smote\v5\DecisionTree_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.54,0.9700091002730082,1.0,0.76008,0.8636880141811736,87497,0,2999,9501,0.9696590897726932,1.0,0.75728,0.861877446963489,87497,0,3034,9466
v5,RandomForest,results_standard_research_clean_smote\v5\RandomForest_validation_predictions.csv,results_standard_research_clean_smote\v5\RandomForest_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.49,0.9699390981729452,0.996963986599665,0.76184,0.8636858334844912,87468,29,2977,9523,0.9696390891726752,0.9973722934622661,0.75912,0.8620877623330607,87472,25,3011,9489
v5,XGBoost,results_standard_research_clean_smote\v5\XGBoost_validation_predictions.csv,results_standard_research_clean_smote\v5\XGBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.45,0.9700191005730172,0.997799664710813,0.76184,0.8639992741789149,87476,21,2977,9523,0.9695390861725852,0.9977885425442291,0.758,0.8615202764138935,87476,21,3025,9475
v5,CatBoost,results_standard_research_clean_smote\v5\CatBoost_validation_predictions.csv,results_standard_research_clean_smote\v5\CatBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.45,0.9699890996729902,0.9985304922850845,0.76104,0.8637581150406319,87483,14,2987,9513,0.9696090882726481,0.9984195553682436,0.75808,0.8618071029057341,87482,15,3024,9476
