threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.4782443473304199,0.19261164657389904,0.9944,0.32271464548121614,35393,52104,70,12430
0.11,0.481774453233597,0.19362328777796825,0.994,0.32411211540217294,35751,51746,75,12425
0.12,0.4843345300359011,0.19437012001439546,0.99376,0.3251449436584696,36010,51487,78,12422
0.13,0.48621458643759313,0.19488612283978715,0.99328,0.3258407799603721,36204,51293,84,12416
0.14,0.4881646449393482,0.19542691568769488,0.9928,0.32657035341175233,36405,51092,90,12410
0.15,0.49023470704121125,0.19597958183858274,0.99208,0.32730247964421927,36621,50876,99,12401
0.16,0.4922647679430383,0.1965237249429079,0.99136,0.32802159987294194,36833,50664,108,12392
0.17,0.4947448423452704,0.1971743493357969,0.99032,0.3288701150341384,37094,50403,121,12379
0.18,0.49771493144794343,0.19796653590585223,0.98912,0.3299046094323261,37406,50091,136,12364
0.19,0.5024350730521916,0.1992605628117987,0.98736,0.33160037077338494,37900,49597,158,12342
0.2,0.5080852425572767,0.20077314542963398,0.98472,0.3335410795577715,38498,48999,191,12309
0.21,0.515485464563937,0.20284344519755332,0.9816,0.3362104397862721,39277,48220,230,12270
0.22,0.5266057981739453,0.20605804927438406,0.97688,0.3403288740245262,40448,47049,289,12211
0.23,0.5441363240897227,0.21131528890284976,0.96872,0.34694783891809805,42303,45194,391,12109
0.24,0.5711571347140414,0.21988457212398355,0.954,0.3573943925793835,45189,42308,575,11925
0.25,0.6149784493534806,0.23651729798747492,0.9336,0.37741951132743645,49826,37671,830,11670
0.26,0.6790103703111093,0.2681368605366523,0.90656,0.41386362806325555,56567,30930,1168,11332
0.27,0.7561626848805464,0.32377280142369863,0.87328,0.4724007356918749,64698,22799,1584,10916
0.28,0.8285748572457173,0.4096324560037377,0.84168,0.5510685103708359,72334,15163,1979,10521
0.29,0.8792763782913487,0.5106818408705202,0.81848,0.628942029876437,77694,9803,2269,10231
0.3,0.9116173485204556,0.6111718275652702,0.80528,0.6949257852951329,81093,6404,2434,10066
0.31,0.9303179095372861,0.6924843423799583,0.79608,0.7406773353181987,83078,4419,2549,9951
0.32,0.9410482314469434,0.7504740235115662,0.7916,0.7704886120303679,84207,3290,2605,9895
0.33,0.9473284198525955,0.7892505798608334,0.78944,0.789345278566572,84862,2635,2632,9868
0.34,0.9510985329559887,0.8146708567648032,0.78808,0.8011548471047495,85256,2241,2649,9851
0.35,0.9538186145584368,0.8340963038318074,0.78712,0.8099275600921964,85540,1957,2661,9839
0.36,0.9557286718601558,0.8487859673377689,0.78584,0.8161010260457775,85747,1750,2677,9823
0.37,0.9573587207616229,0.8623086398029209,0.78408,0.821335791502556,85932,1565,2699,9801
0.38,0.9590687720631619,0.876152125279642,0.78328,0.8271172122492081,86113,1384,2709,9791
0.39,0.9605788173645209,0.8887172965116279,0.78264,0.8323124042879019,86272,1225,2717,9783
0.4,0.961418842565277,0.8960586617781852,0.78208,0.8351986330627937,86363,1134,2724,9776
0.41,0.962098862965889,0.9026442307692307,0.78104,0.8374506776462514,86444,1053,2737,9763
0.42,0.962528875866276,0.9063979942427338,0.78088,0.8389703038377241,86489,1008,2739,9761
0.43,0.962858885766573,0.909412861136999,0.78064,0.8401205337925096,86525,972,2742,9758
0.44,0.963048891466744,0.9116409537166901,0.78,0.8406984263849968,86552,945,2750,9750
0.45,0.963278898366951,0.9136832239925023,0.77992,0.841519205869659,86576,921,2751,9749
0.46,0.963408902267068,0.9150314524457798,0.77968,0.8419506716772494,86592,905,2754,9746
0.47,0.96348890466714,0.9158755522135539,0.77952,0.8422144431479319,86602,895,2756,9744
0.48,0.963648909467284,0.917726887192536,0.77904,0.8427155899787978,86624,873,2762,9738
0.49,0.963848915467464,0.9196976854038734,0.7788,0.8434048083170891,86647,850,2765,9735
0.5,0.964198925967779,0.9236322188449848,0.77792,0.8445370852874762,86693,804,2776,9724
0.51,0.9646889406682201,0.9282781014229777,0.7776,0.8462844456053283,86746,751,2780,9720
0.52,0.965218956568697,0.9338334295056742,0.7768,0.8481090051532886,86809,688,2790,9710
0.53,0.965858975769273,0.9413250437147853,0.7752,0.8502237430902868,86893,604,2810,9690
0.54,0.9662789883696511,0.9458772958186792,0.77456,0.851688951442646,86943,554,2818,9682
0.55,0.9668190045701371,0.9523152709359606,0.77328,0.8535099337748344,87013,484,2834,9666
0.56,0.9675190255707671,0.960390127388535,0.772,0.85595174738336,87099,398,2850,9650
0.57,0.9680590417712531,0.9671686746987952,0.77064,0.8577916295636687,87170,327,2867,9633
0.58,0.9683590507715232,0.9704696633743197,0.77032,0.8588885915618588,87204,293,2871,9629
0.59,0.9685290558716761,0.9722306371806523,0.77024,0.859527741820292,87222,275,2872,9628
0.6,0.9686190585717571,0.9734021035598706,0.77,0.8598356262283366,87234,263,2875,9625
0.61,0.9687190615718472,0.9744835965978129,0.76992,0.8602073650339649,87245,252,2876,9624
0.62,0.9687690630718921,0.9751697577784534,0.76976,0.8603746590959896,87252,245,2878,9622
0.63,0.9688890666720001,0.9766473753680577,0.76952,0.8607991409011588,87267,230,2881,9619
0.64,0.9689390681720451,0.9774344378938808,0.76928,0.8609544274330736,87275,222,2884,9616
0.65,0.9690190705721171,0.978521986970684,0.76904,0.8612255868123992,87286,211,2887,9613
0.66,0.9690790723721712,0.9793152639087018,0.76888,0.8614322846643362,87294,203,2889,9611
0.67,0.9690990729721891,0.9801020408163266,0.7684,0.8614349775784754,87302,195,2895,9605
0.68,0.9691490744722342,0.9809951977112497,0.76808,0.8615784986763585,87311,186,2899,9601
0.69,0.9692290768723062,0.9823896795331217,0.7676,0.8618134459064984,87325,172,2905,9595
0.7,0.9693190795723872,0.9838908270059512,0.76712,0.8620875663040547,87340,157,2911,9589
0.71,0.9693590807724232,0.9849917763157895,0.76656,0.8621558394817348,87351,146,2918,9582
0.72,0.9694290828724862,0.9862012151168777,0.76616,0.8623654945747603,87363,134,2923,9577
0.73,0.9694690840725222,0.9871094152830773,0.76576,0.8624588908411047,87372,125,2928,9572
0.74,0.9694790843725312,0.9879157198925842,0.7652,0.8624109638445587,87380,117,2935,9565
0.75,0.9695390861725852,0.9888314374353672,0.76496,0.8626071267478574,87389,108,2938,9562
0.76,0.9695790873726212,0.9894431794659491,0.7648,0.862738020034293,87395,102,2940,9560
0.77,0.9695590867726032,0.9898466639038541,0.76432,0.8625857710364752,87399,98,2946,9554
0.78,0.9696490894726841,0.9910760610148387,0.76408,0.8628992185029589,87411,86,2949,9551
0.79,0.9696690900727022,0.9917922077922078,0.76368,0.8629152542372882,87418,79,2954,9546
0.8,0.9697190915727472,0.9929225645295587,0.7632,0.8630360050660395,87429,68,2960,9540
0.81,0.9697090912727382,0.9938471164876421,0.7624,0.8628729231744307,87438,59,2970,9530
0.82,0.9697690930727921,0.9948825065274152,0.76208,0.8630577576443941,87448,49,2974,9526
0.83,0.9697790933728012,0.9959187944746756,0.76136,0.8629851287631483,87458,39,2983,9517
0.84,0.9697790933728012,0.997585048299034,0.76008,0.8627860515800945,87474,23,2999,9501
0.85,0.9697790933728012,0.9988421052631579,0.75912,0.8626363636363636,87486,11,3011,9489
0.86,0.9697890936728102,0.999894525893893,0.7584,0.8625631226968745,87496,1,3020,9480
0.87,0.9697290918727561,1.0,0.75784,0.8622400218449916,87497,0,3027,9473
0.88,0.9696890906727201,1.0,0.75752,0.8620328644908735,87497,0,3031,9469
0.89,0.9696390891726752,1.0,0.75712,0.8617738116918594,87497,0,3036,9464
0.9,0.9695690870726121,1.0,0.75656,0.8614109395636927,87497,0,3043,9457
