version,setup,model_name,selection_metric_source,evaluation_metric_source,training_time_sec,accuracy,fraud_precision,fraud_recall,fraud_f1,macro_f1,weighted_f1,roc_auc,pr_auc,validation_accuracy,validation_fraud_precision,validation_fraud_recall,validation_fraud_f1,validation_roc_auc,validation_pr_auc,selection_reason,best_params
v1,SMOTE,XGBoost,validation,test,0.5,0.9535,0.906736,0.7,0.790068,0.881961,0.950881,0.895112,0.800865,0.956,0.878505,0.752,0.810345,0.916078,0.842293,"XGBoost was selected because it remained after the tolerance filters for Fraud F1 (best=0.810345, tolerance=0.002), PR-AUC (best among F1-tied models=0.842293, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.752000, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__subsample"": 0.8, ""clf__reg_lambda"": 2.0, ""clf__n_estimators"": 80, ""clf__min_child_weight"": 3, ""clf__max_depth"": 5, ""clf__learning_rate"": 0.05, ""clf__gamma"": 0.0, ""clf__colsample_bytree"": 0.8}"
v2,SMOTE,XGBoost,validation,test,0.51,0.954,0.911458,0.7,0.791855,0.882999,0.951357,0.895753,0.797651,0.9565,0.886256,0.748,0.81128,0.922597,0.846536,"XGBoost was selected because it remained after the tolerance filters for Fraud F1 (best=0.811280, tolerance=0.002), PR-AUC (best among F1-tied models=0.846536, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.748000, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__subsample"": 0.8, ""clf__reg_lambda"": 2.0, ""clf__n_estimators"": 40, ""clf__min_child_weight"": 3, ""clf__max_depth"": 5, ""clf__learning_rate"": 0.1, ""clf__gamma"": 0.0, ""clf__colsample_bytree"": 0.8}"
v3,SMOTE,XGBoost,validation,test,0.51,0.9645,0.989071,0.724,0.836028,0.908062,0.962087,0.910727,0.824108,0.969,0.97,0.776,0.862222,0.938215,0.871808,"XGBoost was selected because it remained after the tolerance filters for Fraud F1 (best=0.862832, tolerance=0.002), PR-AUC (best among F1-tied models=0.871808, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.776000, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__subsample"": 0.8, ""clf__reg_lambda"": 2.0, ""clf__n_estimators"": 40, ""clf__min_child_weight"": 3, ""clf__max_depth"": 5, ""clf__learning_rate"": 0.1, ""clf__gamma"": 0.0, ""clf__colsample_bytree"": 0.8}"
v4,SMOTE,XGBoost,validation,test,0.61,0.964,0.973404,0.732,0.835616,0.907702,0.961765,0.907202,0.821647,0.9685,0.956098,0.784,0.861538,0.934896,0.871734,"XGBoost was selected because it remained after the tolerance filters for Fraud F1 (best=0.861538, tolerance=0.002), PR-AUC (best among F1-tied models=0.871734, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.784000, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__subsample"": 0.8, ""clf__reg_lambda"": 2.0, ""clf__n_estimators"": 80, ""clf__min_child_weight"": 3, ""clf__max_depth"": 5, ""clf__learning_rate"": 0.05, ""clf__gamma"": 0.0, ""clf__colsample_bytree"": 0.8}"
v5,SMOTE,XGBoost,validation,test,0.71,0.962,0.962766,0.724,0.826484,0.902574,0.959641,0.907733,0.821774,0.9675,0.95122,0.78,0.857143,0.932283,0.869419,"XGBoost was selected because it remained after the tolerance filters for Fraud F1 (best=0.857143, tolerance=0.002), PR-AUC (best among F1-tied models=0.869419, tolerance=0.003), and fraud recall (best among PR-AUC-tied models=0.780000, tolerance=0.002). Among the remaining models, it ranked highest by fraud precision, then ROC-AUC, then lower training time.","{""clf__subsample"": 0.8, ""clf__reg_lambda"": 2.0, ""clf__n_estimators"": 80, ""clf__min_child_weight"": 3, ""clf__max_depth"": 5, ""clf__learning_rate"": 0.05, ""clf__gamma"": 0.0, ""clf__colsample_bytree"": 0.8}"
