threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.392,0.16551246537396122,0.956,0.282172373081464,545,1205,11,239
0.11,0.4175,0.1715721464465183,0.956,0.2909312233718807,596,1154,11,239
0.12,0.4425,0.17699775952203137,0.948,0.2983008181246067,648,1102,13,237
0.13,0.4625,0.18146718146718147,0.94,0.3042071197411003,690,1060,15,235
0.14,0.477,0.18562401263823064,0.94,0.3100263852242744,719,1031,15,235
0.15,0.4915,0.18896999188969993,0.932,0.31422791638570463,750,1000,17,233
0.16,0.511,0.19514237855946398,0.932,0.3227146814404432,789,961,17,233
0.17,0.5375,0.20368744512730466,0.928,0.33405327573794097,843,907,18,232
0.18,0.553,0.20780399274047187,0.916,0.33875739644970415,877,873,21,229
0.19,0.567,0.2126865671641791,0.912,0.34493192133131617,906,844,22,228
0.2,0.581,0.21676300578034682,0.9,0.34937888198757766,937,813,25,225
0.21,0.5965,0.2234359483614697,0.9,0.35799522673031026,968,782,25,225
0.22,0.611,0.22950819672131148,0.896,0.3654159869494291,998,752,26,224
0.23,0.627,0.23617021276595745,0.888,0.373109243697479,1032,718,28,222
0.24,0.637,0.23960612691466082,0.876,0.3762886597938144,1055,695,31,219
0.25,0.653,0.24715261958997722,0.868,0.38475177304964536,1089,661,33,217
0.26,0.6655,0.25381903642773207,0.864,0.3923705722070845,1115,635,34,216
0.27,0.6775,0.26118500604594924,0.864,0.40111420612813375,1139,611,34,216
0.28,0.688,0.2679900744416873,0.864,0.40909090909090906,1160,590,34,216
0.29,0.698,0.27365728900255754,0.856,0.41472868217054265,1182,568,36,214
0.3,0.713,0.2845744680851064,0.856,0.42714570858283435,1212,538,36,214
0.31,0.7245,0.29298486932599727,0.852,0.43602865916069605,1236,514,37,213
0.32,0.737,0.3034188034188034,0.852,0.4474789915966386,1261,489,37,213
0.33,0.748,0.31323529411764706,0.852,0.4580645161290322,1283,467,37,213
0.34,0.754,0.3177710843373494,0.844,0.46170678336980303,1297,453,39,211
0.35,0.764,0.32710280373831774,0.84,0.47085201793721965,1318,432,40,210
0.36,0.7735,0.3365539452495974,0.836,0.4799081515499426,1338,412,41,209
0.37,0.7815,0.34442595673876875,0.828,0.48648648648648646,1356,394,43,207
0.38,0.789,0.3527397260273973,0.824,0.4940047961630696,1372,378,44,206
0.39,0.7975,0.3623445825932504,0.816,0.5018450184501845,1391,359,46,204
0.4,0.803,0.3686131386861314,0.808,0.5062656641604011,1404,346,48,202
0.41,0.809,0.376865671641791,0.808,0.5139949109414758,1416,334,48,202
0.42,0.8195,0.39223300970873787,0.808,0.5281045751633987,1437,313,48,202
0.43,0.8255,0.40119760479041916,0.804,0.5352862849533956,1450,300,49,201
0.44,0.8295,0.4069529652351738,0.796,0.5385656292286874,1460,290,51,199
0.45,0.836,0.4180672268907563,0.796,0.5482093663911846,1473,277,51,199
0.46,0.8415,0.42795698924731185,0.796,0.5566433566433566,1484,266,51,199
0.47,0.8485,0.44124168514412415,0.796,0.5677603423680456,1498,252,51,199
0.48,0.853,0.4502262443438914,0.796,0.5751445086705202,1507,243,51,199
0.49,0.857,0.4583333333333333,0.792,0.5806451612903226,1516,234,52,198
0.5,0.8595,0.46335697399527187,0.784,0.5824665676077266,1523,227,54,196
0.51,0.868,0.48267326732673266,0.78,0.5963302752293578,1541,209,55,195
0.52,0.873,0.4948453608247423,0.768,0.6018808777429467,1554,196,58,192
0.53,0.877,0.5052910052910053,0.764,0.60828025477707,1563,187,59,191
