threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.4710141304239127,0.19061040055142836,0.99552,0.31995886096291054,34656,52841,56,12444
0.11,0.47695430862925886,0.1922844994201778,0.99488,0.32228053126012307,35258,52239,64,12436
0.12,0.47963438903167094,0.19303694271472274,0.99448,0.32331560398975256,35531,51966,69,12431
0.13,0.481474444233327,0.19358053915995702,0.9944,0.3240734705583293,35716,51781,70,12430
0.14,0.48348450453513603,0.194140625,0.994,0.32483660130718955,35922,51575,75,12425
0.15,0.48585457563726914,0.19484308097680328,0.99384,0.3258107239801204,36161,51336,77,12423
0.16,0.48764462933888014,0.19528619528619529,0.99296,0.32638249756764576,36351,51146,88,12412
0.17,0.49061471844155324,0.1961742154770374,0.99272,0.3276087386971157,36651,50846,91,12409
0.18,0.4936148084442533,0.19700316209301957,0.99184,0.32871554889769733,36962,50535,102,12398
0.19,0.4963048891466744,0.1977330779054917,0.99088,0.3296779345222251,37243,50254,114,12386
0.2,0.4985149554486635,0.19831717285038866,0.98992,0.3304359436544496,37476,50021,126,12374
0.21,0.5009150274508235,0.1989182402086251,0.98856,0.33119363181946104,37733,49764,143,12357
0.22,0.5041851255537666,0.19965980884497003,0.986,0.3320759800619696,38092,49405,175,12325
0.23,0.5115253457603728,0.2016417665407979,0.98256,0.3346138128320393,38869,48628,218,12282
0.24,0.5270458113743413,0.20606224444970095,0.97568,0.34026169684457214,40507,46990,304,12196
0.25,0.5650169505085153,0.21799887188631525,0.95848,0.3552083487748114,44519,42978,519,11981
0.26,0.6492694780843425,0.2523044508822755,0.91968,0.39597685312758335,53429,34068,1004,11496
0.27,0.7779433383001491,0.3448639662393299,0.86296,0.4927933484090546,67005,20492,1713,10787
0.28,0.8792463773913217,0.5105874146778935,0.81984,0.6292714377820761,77674,9823,2252,10248
0.29,0.9211476344290329,0.6498863267294576,0.8004,0.7173328553504212,82107,5390,2495,10005
0.3,0.9363580907427222,0.7235499854269892,0.7944,0.7573215375228799,83703,3794,2570,9930
0.31,0.9442483274498235,0.7692666614822303,0.79136,0.7801569462518237,84530,2967,2608,9892
0.32,0.9494284828544857,0.8032760166245619,0.78856,0.7958499858705745,85083,2414,2643,9857
0.33,0.9526285788573657,0.825711168918352,0.7872,0.8059958225826269,85420,2077,2660,9840
0.34,0.9545486364590938,0.8398120461341307,0.7864,0.8122288783309234,85622,1875,2670,9830
0.35,0.9559686790603719,0.8506105481943362,0.78576,0.8169002370358049,85772,1725,2678,9822
0.36,0.9573387201616048,0.8613305248376338,0.78512,0.8214614547585167,85917,1580,2686,9814
0.37,0.9580787423622709,0.8672206506364922,0.7848,0.8239543087518898,85995,1502,2690,9810
0.38,0.9586887606628199,0.8725848099011664,0.784,0.8259238970123468,86066,1431,2700,9800
0.39,0.9593887816634499,0.8784644362723114,0.78352,0.8282802655503403,86142,1355,2706,9794
0.4,0.959878796363891,0.8826871055004508,0.78312,0.8299279355659177,86196,1301,2711,9789
0.41,0.960358810764323,0.8869446962828649,0.78264,0.8315342116447089,86250,1247,2717,9783
0.42,0.9609288278648359,0.8919091489555778,0.78224,0.8334825043685803,86312,1185,2722,9778
0.43,0.961508845265358,0.8970898742311576,0.78176,0.8354636002222887,86376,1121,2728,9772
0.44,0.962198865965979,0.9037037037037037,0.7808,0.8377682403433476,86457,1040,2740,9760
0.45,0.962768883066492,0.9089553629671047,0.78032,0.8397400025827558,86520,977,2746,9754
0.46,0.963168895066852,0.9126649817467004,0.78,0.8411335892679981,86564,933,2750,9750
0.47,0.963408902267068,0.9154214829433324,0.77928,0.8418823732768679,86597,900,2759,9741
0.48,0.963708911267338,0.9185618571293762,0.77872,0.8428800277092263,86634,863,2766,9734
0.49,0.964038921167635,0.9217506631299734,0.7784,0.844031922276197,86671,826,2770,9730
0.5,0.964268928067842,0.9240855106888362,0.77808,0.8448208469055375,86698,799,2774,9726
0.51,0.964518935568067,0.9270992366412214,0.77728,0.8456048738033073,86733,764,2784,9716
0.52,0.9648089442683281,0.9305781954166267,0.7764,0.8465262331545205,86773,724,2795,9705
0.53,0.9652489574687241,0.9355274587395039,0.77544,0.8479944009448407,86829,668,2807,9693
0.54,0.9656789703691111,0.9401941747572815,0.77472,0.8494736842105264,86881,616,2816,9684
0.55,0.9659989799693991,0.9435562487814388,0.77432,0.8506019861147727,86918,579,2821,9679
0.56,0.9665689970699121,0.9498870000982608,0.77336,0.852581911187547,86987,510,2833,9667
0.57,0.9671790153704611,0.9564270152505446,0.77264,0.8547659084874768,87057,440,2842,9658
0.58,0.9676090282708482,0.9611592470869436,0.77208,0.8563062863227009,87107,390,2849,9651
0.59,0.9679090372711181,0.964968471624462,0.77128,0.8573207060602018,87147,350,2859,9641
0.6,0.9681590447713432,0.9688947050533522,0.77,0.8580725684229294,87188,309,2875,9625
0.61,0.9684590537716131,0.9724974721941355,0.76944,0.8591335417597142,87225,272,2882,9618
0.62,0.9685390561716851,0.9737641815235009,0.76904,0.8593777936706598,87238,259,2887,9613
0.63,0.9686290588717662,0.9747490112564648,0.76896,0.8597111041545548,87248,249,2888,9612
0.64,0.9687190615718472,0.976122739280634,0.76856,0.8599946289499597,87262,235,2893,9607
0.65,0.9688490654719641,0.97809475292919,0.768,0.8604077974456644,87282,215,2900,9600
0.66,0.9688990669720091,0.9791794243723209,0.76752,0.8605256076778186,87293,204,2906,9594
0.67,0.9689590687720632,0.9800735744941753,0.76728,0.8607197343623799,87302,195,2909,9591
0.68,0.9690590717721531,0.9812730249693,0.76712,0.8610811781609194,87314,183,2911,9589
0.69,0.9690790723721712,0.9819672131147541,0.76672,0.8610961365678346,87321,176,2916,9584
0.7,0.9691390741722251,0.9828682806729585,0.76648,0.8612909025530384,87330,167,2919,9581
0.71,0.9692090762722881,0.9842705870258045,0.76592,0.8614747829216719,87344,153,2926,9574
0.72,0.9693090792723782,0.9858835651725915,0.76544,0.8617878856113488,87360,137,2932,9568
0.73,0.9693890816724502,0.987400598987917,0.76488,0.8620114502096201,87375,122,2939,9561
0.74,0.9694490834725041,0.988416589099183,0.76456,0.8621949569218277,87385,112,2943,9557
0.75,0.9694790843725312,0.9890269151138716,0.76432,0.862274368231047,87391,106,2946,9554
0.76,0.9694890846725401,0.9896362317338584,0.76392,0.8622511174319383,87397,100,2951,9549
0.77,0.9694990849725492,0.9901452282157677,0.7636,0.8622402890695574,87402,95,2955,9545
0.78,0.9694790843725312,0.990346688810463,0.76328,0.8621125869702718,87404,93,2959,9541
0.79,0.9694990849725492,0.9907561279601164,0.76312,0.8621655820679682,87408,89,2961,9539
0.8,0.9695090852725582,0.9916762043491832,0.76248,0.8621048346976619,87417,80,2969,9531
0.81,0.9695790873726212,0.9928095039599834,0.76216,0.8623280231716147,87428,69,2973,9527
0.82,0.9696690900727022,0.9951877811486557,0.76104,0.8625050999592003,87451,46,2987,9513
0.83,0.9697290918727561,0.9969572972405834,0.76016,0.862602696200808,87468,29,2998,9502
0.84,0.9696490894726841,0.9983152574497209,0.75848,0.8620266399963632,87481,16,3019,9481
0.85,0.9695390861725852,0.9992606675116181,0.75688,0.8613437727603788,87490,7,3039,9461
0.86,0.9694890846725401,0.9995770328856931,0.75624,0.861046591064353,87493,4,3047,9453
0.87,0.9694090822724681,0.9995766747804,0.7556,0.8606314638480114,87493,4,3055,9445
0.88,0.9693490804724142,0.9995764058032405,0.75512,0.8603199197921888,87493,4,3061,9439
0.89,0.9692190765722972,0.999575821845175,0.75408,0.8596443228454171,87493,4,3074,9426
0.9,0.9691490744722342,0.9995755067388306,0.75352,0.8592802080007299,87493,4,3081,9419
