threshold,accuracy,precision,recall,f1,tn,fp,fn,tp
0.1,0.375,0.16666666666666666,1.0,0.2857142857142857,500,1250,0,250
0.11,0.387,0.16937669376693767,1.0,0.28968713789107764,524,1226,0,250
0.12,0.4035,0.17325017325017325,1.0,0.29533372711163614,557,1193,0,250
0.13,0.413,0.1751054852320675,0.996,0.29784688995215314,577,1173,1,249
0.14,0.4245,0.1779842744817727,0.996,0.30200121285627657,600,1150,1,249
0.15,0.4265,0.17757009345794392,0.988,0.3010359536867764,606,1144,3,247
0.16,0.432,0.17851959361393324,0.984,0.30221130221130227,618,1132,4,246
0.17,0.4405,0.18027961736571008,0.98,0.3045369794903667,636,1114,5,245
0.18,0.449,0.1825633383010432,0.98,0.30778894472361806,653,1097,5,245
0.19,0.457,0.1838124054462935,0.972,0.3091603053435114,671,1079,7,243
0.2,0.4765,0.18939984411535463,0.972,0.31702544031311153,710,1040,7,243
0.21,0.4995,0.1954582319545823,0.964,0.32501685772083616,758,992,9,241
0.22,0.534,0.20603448275862069,0.956,0.33900709219858155,829,921,11,239
0.23,0.572,0.2189239332096475,0.944,0.35542168674698793,908,842,14,236
0.24,0.615,0.23577235772357724,0.928,0.37601296596434364,998,752,18,232
0.25,0.666,0.2619589977220957,0.92,0.40780141843971635,1102,648,20,230
0.26,0.7185,0.29595827900912647,0.908,0.4464110127826942,1210,540,23,227
0.27,0.7725,0.3420647149460709,0.888,0.49388209121245835,1323,427,28,222
0.28,0.811,0.3861209964412811,0.868,0.5344827586206896,1405,345,33,217
0.29,0.836,0.42322834645669294,0.86,0.5672823218997362,1457,293,35,215
0.3,0.858,0.46255506607929514,0.84,0.5965909090909092,1506,244,40,210
0.31,0.8715,0.49176470588235294,0.836,0.6192592592592592,1534,216,41,209
0.32,0.885,0.5252525252525253,0.832,0.6439628482972136,1562,188,42,208
0.33,0.89,0.538860103626943,0.832,0.6540880503144654,1572,178,42,208
0.34,0.895,0.5531914893617021,0.832,0.6645367412140576,1582,168,42,208
0.35,0.9005,0.5710306406685237,0.82,0.6732348111658456,1596,154,45,205
0.36,0.904,0.5823863636363636,0.82,0.6810631229235881,1603,147,45,205
0.37,0.905,0.5867052023121387,0.812,0.6812080536912752,1607,143,47,203
0.38,0.9095,0.6023738872403561,0.812,0.6916524701873936,1616,134,47,203
0.39,0.914,0.6189024390243902,0.812,0.7024221453287198,1625,125,47,203
0.4,0.9195,0.6403785488958991,0.812,0.7160493827160493,1636,114,47,203
0.41,0.9215,0.6495176848874598,0.808,0.7201426024955436,1641,109,48,202
0.42,0.924,0.6601307189542484,0.808,0.7266187050359713,1646,104,48,202
0.43,0.9275,0.6767676767676768,0.804,0.7349177330895796,1654,96,49,201
0.44,0.931,0.6931034482758621,0.804,0.7444444444444445,1661,89,49,201
0.45,0.9325,0.7017543859649122,0.8,0.7476635514018691,1665,85,50,200
0.46,0.934,0.7092198581560284,0.8,0.7518796992481204,1668,82,50,200
0.47,0.9355,0.7184115523465704,0.796,0.7552182163187856,1672,78,51,199
0.48,0.9365,0.7236363636363636,0.796,0.758095238095238,1674,76,51,199
0.49,0.94,0.7425373134328358,0.796,0.7683397683397682,1681,69,51,199
0.5,0.9415,0.7509433962264151,0.796,0.7728155339805826,1684,66,51,199
0.51,0.943,0.7615384615384615,0.792,0.7764705882352941,1688,62,52,198
0.52,0.944,0.7674418604651163,0.792,0.7795275590551182,1690,60,52,198
0.53,0.947,0.7857142857142857,0.792,0.7888446215139442,1696,54,52,198
0.54,0.9495,0.8016194331983806,0.792,0.7967806841046278,1701,49,52,198
0.55,0.95,0.8048780487804879,0.792,0.7983870967741936,1702,48,52,198
0.56,0.951,0.8114754098360656,0.792,0.8016194331983807,1704,46,52,198
0.57,0.951,0.8140495867768595,0.788,0.8008130081300813,1705,45,53,197
0.58,0.952,0.8208333333333333,0.788,0.8040816326530613,1707,43,53,197
0.59,0.9545,0.8382978723404255,0.788,0.8123711340206187,1712,38,53,197
0.6,0.9555,0.8484848484848485,0.784,0.814968814968815,1715,35,54,196
0.61,0.9555,0.8577777777777778,0.772,0.8126315789473685,1718,32,57,193
0.62,0.956,0.8616071428571429,0.772,0.8143459915611814,1719,31,57,193
0.63,0.957,0.8693693693693694,0.772,0.8177966101694916,1721,29,57,193
0.64,0.958,0.8772727272727273,0.772,0.821276595744681,1723,27,57,193
0.65,0.9585,0.8847926267281107,0.768,0.822269807280514,1725,25,58,192
0.66,0.9585,0.8847926267281107,0.768,0.822269807280514,1725,25,58,192
0.67,0.9585,0.8883720930232558,0.764,0.821505376344086,1726,24,59,191
0.68,0.9595,0.8967136150234741,0.764,0.8250539956803454,1728,22,59,191
0.69,0.9595,0.8967136150234741,0.764,0.8250539956803454,1728,22,59,191
0.7,0.9595,0.8967136150234741,0.764,0.8250539956803454,1728,22,59,191
0.71,0.96,0.9009433962264151,0.764,0.8268398268398268,1729,21,59,191
0.72,0.96,0.9047619047619048,0.76,0.8260869565217391,1730,20,60,190
0.73,0.96,0.9086538461538461,0.756,0.8253275109170306,1731,19,61,189
0.74,0.961,0.9174757281553398,0.756,0.8289473684210527,1733,17,61,189
0.75,0.9615,0.9219512195121952,0.756,0.8307692307692308,1734,16,61,189
0.76,0.9635,0.9402985074626866,0.756,0.8381374722838137,1738,12,61,189
