version,setup,metric_split,model_name,training_time_sec,accuracy,fraud_precision,fraud_recall,fraud_f1,macro_f1,weighted_f1,roc_auc,pr_auc,best_params
v4,No-SMOTE,test,DecisionTree,486.95,0.966309,0.953692,0.76776,0.850685,0.915849,0.964721,0.929523,0.83373,"{""clf__min_samples_split"": 5, ""clf__min_samples_leaf"": 8, ""clf__max_depth"": 8, ""clf__criterion"": ""log_loss"", ""clf__ccp_alpha"": 0.0}"
v4,No-SMOTE,test,RandomForest,5890.78,0.963769,0.923481,0.77432,0.842348,0.91094,0.962384,0.93108,0.855844,"{""clf__n_estimators"": 500, ""clf__min_samples_split"": 2, ""clf__min_samples_leaf"": 2, ""clf__max_features"": 0.8, ""clf__max_depth"": 10, ""clf__bootstrap"": true}"
v4,No-SMOTE,test,XGBoost,451.94,0.963549,0.921707,0.77416,0.841515,0.910461,0.962169,0.931581,0.855922,"{""clf__subsample"": 1.0, ""clf__reg_lambda"": 5.0, ""clf__n_estimators"": 600, ""clf__min_child_weight"": 3, ""clf__max_depth"": 5, ""clf__learning_rate"": 0.03, ""clf__gamma"": 0.1, ""clf__colsample_bytree"": 0.6}"
v4,No-SMOTE,test,CatBoost,10395.11,0.963549,0.92227,0.7736,0.841418,0.910413,0.962159,0.931293,0.855876,"{""learning_rate"": 0.03, ""l2_leaf_reg"": 3, ""iterations"": 600, ""depth"": 5, ""border_count"": 254}"
v4,No-SMOTE,test,LogisticRegression,188.09,0.942988,0.773426,0.76928,0.771347,0.869391,0.942923,0.920396,0.840444,"{""clf__C"": 8.111308307896872}"
