version,setup,metric_split,model_name,training_time_sec,accuracy,fraud_precision,fraud_recall,fraud_f1,macro_f1,weighted_f1,roc_auc,pr_auc,best_params
v4,SMOTE,test,RandomForest,11607.28,0.969649,0.998105,0.75864,0.862052,0.9225,0.967836,0.930784,0.855105,"{""clf__n_estimators"": 700, ""clf__min_samples_split"": 10, ""clf__min_samples_leaf"": 4, ""clf__max_features"": 0.8, ""clf__max_depth"": 14, ""clf__bootstrap"": true}"
v4,SMOTE,test,DecisionTree,573.57,0.969429,0.990954,0.7624,0.861781,0.922297,0.967684,0.929924,0.852101,"{""clf__min_samples_split"": 40, ""clf__min_samples_leaf"": 2, ""clf__max_depth"": null, ""clf__criterion"": ""log_loss"", ""clf__ccp_alpha"": 0.0001}"
v4,SMOTE,test,CatBoost,2701.09,0.969609,0.999789,0.75704,0.861644,0.922287,0.967769,0.931186,0.856355,"{""clf__learning_rate"": 0.03, ""clf__l2_leaf_reg"": 3, ""clf__iterations"": 600, ""clf__depth"": 5, ""clf__border_count"": 254}"
v4,SMOTE,test,XGBoost,749.35,0.969509,0.998313,0.75736,0.861302,0.922087,0.967675,0.931678,0.856668,"{""clf__subsample"": 1.0, ""clf__reg_lambda"": 5.0, ""clf__n_estimators"": 600, ""clf__min_child_weight"": 3, ""clf__max_depth"": 5, ""clf__learning_rate"": 0.03, ""clf__gamma"": 0.1, ""clf__colsample_bytree"": 0.6}"
v4,SMOTE,test,LogisticRegression,1080.67,0.944828,0.786306,0.76712,0.776594,0.872561,0.944536,0.920295,0.840195,"{""clf__C"": 3.511191734215131}"
